Codigo;Descripción;Producto;Des. Producto;Des. Familia
1102N23NL0;TASKalfa 7551ci;1T02K9CNL0;TK-8705C;CONSUMIBLES COLOR
1102N33NL0;TASKalfa 6551ci;1T02K90NL0;TK-8705K;CONSUMIBLES B/N
1102N33NL0;TASKalfa 6551ci;1T02K9ANL0;TK-8705Y;CONSUMIBLES COLOR
1102N33NL0;TASKalfa 6551ci;1T02K9BNL0;TK-8705M;CONSUMIBLES COLOR
1102N33NL0;TASKalfa 6551ci;1T02K9CNL0;TK-8705C;CONSUMIBLES COLOR
1102N43NL0;TASKALFA 5551CI;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102N43NL0;TASKALFA 5551CI;1T02LC0NL0;TK-8505K;CONSUMIBLES B/N
1102N43NL0;TASKALFA 5551CI;1T02LC0NLC;TK-8505K;CONSUMIBLES B/N
1102N43NL0;TASKALFA 5551CI;1T02LCANL0;TK-8505Y;CONSUMIBLES COLOR
1102N43NL0;TASKALFA 5551CI;1T02LCBNL0;TK-8505M;CONSUMIBLES COLOR
1102N43NL0;TASKALFA 5551CI;1T02LCCNL0;TK-8505C;CONSUMIBLES COLOR
1102N53NL0;TASKALFA 4551ci;1902LC0UN0;WT-860;CONSUMIBLES B/N
1102N53NL0;TASKALFA 4551ci;1T02LC0NL0;TK-8505K;CONSUMIBLES B/N
1102N53NL0;TASKALFA 4551ci;1T02LC0NLC;TK-8505K;CONSUMIBLES B/N
1102N53NL0;TASKALFA 4551ci;1T02LCANL0;TK-8505Y;CONSUMIBLES COLOR
1102N53NL0;TASKALFA 4551ci;1T02LCBNL0;TK-8505M;CONSUMIBLES COLOR
1102N53NL0;TASKALFA 4551ci;1T02LCCNL0;TK-8505C;CONSUMIBLES COLOR
